"sample","latitude","longitude","date","site","location","successful.count","campaignid","direction","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","broad.total.points.annotated"
"npz6.34",-28.0563,113.549,20210511,"npz6.34","Abrolhos","Y","2021-05_Abrolhos_BOSS","E",0,0,0,0,0,3,0,0,3,0,14,20
"npz6.34",-28.0563,113.549,20210511,"npz6.34","Abrolhos","Y","2021-05_Abrolhos_BOSS","N",0,0,1,0,0,0,0,0,16,0,3,20
"npz6.34",-28.0563,113.549,20210511,"npz6.34","Abrolhos","Y","2021-05_Abrolhos_BOSS","S",0,0,0,0,0,3,0,0,14,0,3,20
"npz6.34",-28.0563,113.549,20210511,"npz6.34","Abrolhos","Y","2021-05_Abrolhos_BOSS","W",0,0,0,0,0,2,0,0,8,0,7,17
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","Abrolhos","Y","2021-05_Abrolhos_BOSS","E",0,0,6,0,0,7,0,0,3,0,4,20
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","Abrolhos","Y","2021-05_Abrolhos_BOSS","N",0,0,8,0,0,2,1,0,3,0,6,20
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","Abrolhos","Y","2021-05_Abrolhos_BOSS","S",0,0,6,0,0,7,0,0,3,0,3,19
"npz6.19",-28.0463,113.5314,20210511,"npz6.19","Abrolhos","Y","2021-05_Abrolhos_BOSS","W",1,0,3,0,0,10,0,0,3,0,3,20
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","Abrolhos","Y","2021-05_Abrolhos_BOSS","E",0,0,5,0,0,0,0,0,0,0,15,20
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","Abrolhos","Y","2021-05_Abrolhos_BOSS","N",0,0,10,0,0,1,0,0,0,0,9,20
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","Abrolhos","Y","2021-05_Abrolhos_BOSS","S",0,0,0,0,0,0,0,0,0,0,19,19
"npz6.36",-28.0765,113.4739,20210511,"npz6.36","Abrolhos","Y","2021-05_Abrolhos_BOSS","W",0,0,0,0,0,0,0,0,0,0,20,20
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","Abrolhos","Y","2021-05_Abrolhos_BOSS","E",0,0,1,0,0,2,0,0,2,0,15,20
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","Abrolhos","Y","2021-05_Abrolhos_BOSS","N",0,0,3,0,0,3,0,0,0,0,14,20
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","Abrolhos","Y","2021-05_Abrolhos_BOSS","S",0,0,0,0,0,2,0,0,2,0,15,19
"npz6.5",-28.0839,113.4763,20210511,"npz6.5","Abrolhos","Y","2021-05_Abrolhos_BOSS","W",0,0,1,0,0,5,0,0,1,0,13,20
