"sample","campaignid","direction","detailed.Anthropogenic Debris..","detailed.Ascidians..","detailed.Ascidians.Colonial.","detailed.Ascidians.Solitary.","detailed.Bedforms..","detailed.Bedforms.Ripples (<10cm height).","detailed.Bedforms.Waves (>10cm height).","detailed.Bioturbation..","detailed.Bioturbation.Burrow cluster.","detailed.Bioturbation.Rounded crater ring.","detailed.Bioturbation.Small mound.","detailed.Black & Octocorals.Black & Octocorals.","detailed.Black & Octocorals.Black & Octocorals.Branching (3D)","detailed.Black & Octocorals.Black & Octocorals.Fan (2D)","detailed.Black & Octocorals.Black & Octocorals.Quill (seapen)","detailed.Black & Octocorals.Black & Octocorals.Whip","detailed.Bryozoa..","detailed.Bryozoa.Branching.","detailed.Bryozoa.Dendroid.","detailed.Bryozoa.Fenestrate.","detailed.Bryozoa.Foliaceous.","detailed.Cnidaria.Zoanthids.","detailed.Consolidated.Boulder.Turf mat","detailed.Consolidated.Boulder.Veneer","detailed.Consolidated.Cobbles.","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Cobbles.Veneer","detailed.Consolidated.Rock.","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Echinoderms..","detailed.Fishes..","detailed.Fishes.Rays & skates.","detailed.Hydroids..","detailed.Invertebrate Complex..","detailed.Invertebrate Complex.Complex 1.","detailed.Macroalgae..","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Brown.","detailed.Macroalgae.Brown.Drift","detailed.Macroalgae.Brown.Ecklonia radiata","detailed.Macroalgae.Brown.Scytothalia dorycarpa","detailed.Macroalgae.Brown.Unidentifiable","detailed.Macroalgae.Drift.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Brown","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Globose/saccate.","detailed.Macroalgae.Green.","detailed.Macroalgae.Laminate.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Red.","detailed.Macroalgae.Red.Calcareous","detailed.Macroalgae.Red.Foliose","detailed.Macroalgae.Red.Non-calcareous","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Matrix..","detailed.Octocoral/Black.Branching (3D).","detailed.Octocoral/Black.Fan (2D).","detailed.Octocoral/Black.Quill (sea pen).","detailed.Octocoral/Black.Whip.","detailed.Seagrasses.Elliptical leaves.Halophila sp.","detailed.Seagrasses.Posidonia sp. (Caab 63600903).","detailed.Seagrasses.Strap-like leaves.","detailed.Seagrasses.Strap-like leaves.Amphibolis sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.Posidonia sp.","detailed.Seagrasses.Strap-like leaves.Posidonia sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.Rupia sp.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp. with epiphytes algae","detailed.Seagrasses.Strap-like leaves.Zostera sp.","detailed.Seagrasses.Zostera sp. (Caab 63600903).","detailed.Sponges.Balls.","detailed.Sponges.Barrels.","detailed.Sponges.Branching.","detailed.Sponges.Creeping / ramose.","detailed.Sponges.Crusts.","detailed.Sponges.Cryptic.","detailed.Sponges.Cups.","detailed.Sponges.Cups.Cup / goblet","detailed.Sponges.Cups.Incomplete cup / curled fan","detailed.Sponges.Cups.Tables / discs","detailed.Sponges.Encrusting.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Laminar.","detailed.Sponges.Massive forms.","detailed.Sponges.Palmate.","detailed.Sponges.Simple.","detailed.Sponges.Small mixed.","detailed.Sponges.Stalked.","detailed.Sponges.Tubes and chimneys.","detailed.Stony corals.Foliose / plate.Live","detailed.Stony corals.Massive.Live","detailed.Stony corals.Stony corals.Encrusting","detailed.Unconsolidated.Pebble / gravel (biogenic).","detailed.Unconsolidated.Pebble / gravel.Biologenic","detailed.Unconsolidated.Pebble / gravel.Gravel (2-10mm)","detailed.Unconsolidated.Pebble / gravel.Pebble (10-64mm)","detailed.Unconsolidated.Pebble.gravel (biogenic)","detailed.Unconsolidated.Pebble.gravel (gravel 2-10mm)","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand / mud (<2mm).Coarse sand (with shell fragments)","detailed.Unconsolidated.Sand / mud (<2mm).Fine sand (no shell fragments)","detailed.Unconsolidated.Sand.mud (coarse sand)","detailed.Unconsolidated.Sand.mud (fine sand)","detailed.Worms.Other polychaetes.","detailed.Worms.Tube worms.","broad.total.points.annotated","latitude","longitude","date","site","location","successful.count"
"1","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5551,115.3906,"20210304",NA,"Geographe",""
"1","2021-03_West-Coast_BOSS","E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,21,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"1","2021-03_West-Coast_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,-34.1318,114.853,"20210309",NA,"South-west Corner","Yes"
"10","2021-03_Geographe_BOSS","E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
"10","2021-03_Geographe_BOSS","W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-33.5452,115.3754,"20210304",NA,"Geographe",""
